markets,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,ids,popularity
2.0,78SHxLdtysAXgywQ4vE0Oa,266493.0,0.0371,0.437,0.337,0.000946,0.0981,-11.439,0.0326,114.239,0.0784,5.0,1.0,4.0,1.0,78SHxLdtysAXgywQ4vE0Oa,61.0
184.0,5SHQUMAmEK5KmuSb0aDvsn,204933.0,0.049,0.287,0.78,3.71e-05,0.184,-6.493,0.0469,167.278,0.383,7.0,1.0,4.0,1.0,5SHQUMAmEK5KmuSb0aDvsn,61.0
184.0,5SHQUMAmEK5KmuSb0aDvsn,204933.0,0.049,0.287,0.78,3.71e-05,0.184,-6.493,0.0469,167.278,0.383,7.0,1.0,4.0,1.0,5SHQUMAmEK5KmuSb0aDvsn,62.0
184.0,5SHQUMAmEK5KmuSb0aDvsn,204933.0,0.049,0.287,0.78,3.71e-05,0.184,-6.493,0.0469,167.278,0.383,7.0,1.0,4.0,1.0,5SHQUMAmEK5KmuSb0aDvsn,58.0
184.0,2zMQOJ4Cyl4BYbw6WqaO3h,235093.0,5.62e-06,0.569,0.789,0.642,0.0811,-8.559,0.0309,115.152,0.911,4.0,1.0,4.0,1.0,2zMQOJ4Cyl4BYbw6WqaO3h,47.0
185.0,64tNsm6TnZe2zpcMVMOoHL,259200.0,0.373,0.384,0.561,0.253,0.0775,-10.059,0.0296,136.136,0.159,3.0,0.0,3.0,1.0,64tNsm6TnZe2zpcMVMOoHL,72.0
185.0,64tNsm6TnZe2zpcMVMOoHL,259200.0,0.373,0.384,0.561,0.253,0.0775,-10.059,0.0296,136.136,0.159,3.0,0.0,3.0,1.0,64tNsm6TnZe2zpcMVMOoHL,73.0
185.0,1w5Kfo2jwwIPruYS2UWh56,318226.0,0.0404,0.285,0.846,0.0,0.182,-6.472,0.0438,108.808,0.287,2.0,1.0,4.0,1.0,1w5Kfo2jwwIPruYS2UWh56,75.0
185.0,1w5Kfo2jwwIPruYS2UWh56,318226.0,0.0404,0.285,0.846,0.0,0.182,-6.472,0.0438,108.808,0.287,2.0,1.0,4.0,1.0,1w5Kfo2jwwIPruYS2UWh56,74.0
185.0,1w5Kfo2jwwIPruYS2UWh56,318226.0,0.0404,0.285,0.846,0.0,0.182,-6.472,0.0438,108.808,0.287,2.0,1.0,4.0,1.0,1w5Kfo2jwwIPruYS2UWh56,73.0
184.0,7LuYiSXiWs86rwWJjEEgB9,154346.0,3.19e-06,0.248,0.98,0.795,0.0688,-7.1,0.0878,152.956,0.513,6.0,1.0,4.0,1.0,7LuYiSXiWs86rwWJjEEgB9,43.0
152.0,3XR64HmFo4OvexUUNW7TP0,382533.0,0.146,0.364,0.414,1.15e-06,0.0975,-14.011,0.0298,139.116,0.458,4.0,0.0,4.0,1.0,3XR64HmFo4OvexUUNW7TP0,42.0
